userId,recommendedItems
kakao2058079420,"['LlCPz6f9sX7ZqNFJUkXx', 'hyDKwZx4tJ9al5SirGHt', 'evVTGIYdRyUZfd1ftxPz', 'vBDfsLBmgAgOOCVGQ04p', 'PIhKMEDngUpcXi81VkQN', '7Ux0704cbdXy8gWHnjuo', 'esU1cfVtigD6WfEIxbi6', 'ds6GBx1bqD6QUOxA8MYE', 'sEPIqWxnnxtChEljXxJx', 'IO5sOxWMnnvHh4Yxq4fD']"
kakao2158870107,"['FYD4QMgJhXxihQBSNbKf', 'OL3kF2kW8rGCl4bEqnPd', 'lino', 'xewhkZxpZccNKAtHRAKs', 'sfCxoddIvlEWDmBXckPt', 'oneOsznr5gRHDmFReCPp', 'ngBNLJZUFcPrYywuq3tm', 'lFQRg8IiM2rvNQ7yQVlR', 'zohzMKZTVrMjiJRNOMGh', 'wpf39fJWBT2tzN2uTHiG']"
v3llCoXurZQruwLguyT41N99Z7y1,"['g5E7tUcvOqWnlKaYMDNq', '5YbgbSDvM9Xpa993h7X8', 'glBc7KXXi1DmpZxkH7ht', 'vcBYgHFdw9sRPCt34FAi', '3f3Flsj4ZVind59GQfjh', 'iAVxQCpSSMeXqMJDigwb', 'CGXs2CgPQHeT5dIBY0Sn', 'TIy6xiUisGdsnGAPa0EW', 'Zihojv13Br9PbTGViv90', 'zP8VrZ9wjXcjH6Q3HFgH']"
kakao1645582297,"['U4fQY0x1P7SKlVXqbO5l', 'moYKLXDrO2k0QXOK4dip', 'v4biBdYz5wIqcIikubdL', '5NI9ErVzezsORFbx6YDk', 'sfCxoddIvlEWDmBXckPt', 'EMOZiiQ5mVoydKXdQZYr', 'pSUMF0cjZoogJ9PBskKi', 'idZEUdokkoWhgOk4O5jq', 'VGY5NiA3jGsIKfZIMspH', 'Iup4QwehHraoIlTQLay0']"
kakao1996081232,"['5wyf0XLcsr1VF0GlienM', 'glBc7KXXi1DmpZxkH7ht', 'Zihojv13Br9PbTGViv90', '0pPsTenH1TTqZ6DK1Hwc', 'CGXs2CgPQHeT5dIBY0Sn', '1csdZVdemlKgo9orBBws', '3f3Flsj4ZVind59GQfjh', 'TjNbsUgRVsqMJiOMLV9x', 'PuLp833Xrgn6g7SKocPb', 'bFPQoP7BJJ9E1vnoTcXX']"
naver25465423,"['AGzplyFx4nVYMmH9pUcT', 'aYgjJBJtx4xYwrAbeGCe', 'K3Zo8qnNlSMOm0zOPTI2', 'XfXQYt5h0edCw8qjtlYI', '4Ek3n1OfvWpfFE6PJ1ob', '4NSsAZyNBMC05wAlzSGZ', 'pqgcVxLDM8fE52hGQsqs', 'nJjGV6QJfO6hKFCqsSt9', 'O2F7ZPnUiUyzO9CDvRLK', 'GiCs0ZyEOxjfYycGo1Fy']"
kakao1601326003,"['hG0Wohhbx3wjSm20s0L5', 'LUPicVzlSbLrzujgAo1f', 'M4vHw0vAk1u8oPIV3gV5', 'RrVdqL9pUmc5HKNWtFdU', 'eVc4KoIocuLZfL4KyKua', 'q3k31l9d0pvKwb3jGXSA', 'ziium', 'x5vbE8B0022wch5xTT92', 'OxsMYAr3hesVgORoyTlq', 'w4qVknJNfsphTJOx0btz']"
kakao1647204986,"['7165MXveEQu2oM2tOron', 'idZEUdokkoWhgOk4O5jq', '48XWufYu9oLyblt5Bu0T', 'VGY5NiA3jGsIKfZIMspH', 'ydfUVfkzx7lChv3ylmlF', 'PE9h8IRVjxJiGZ8WGTqb', 'nrq78z5dlemybd1fG0id', 'Qh7sxfNGTISLviHlBxJs', 'gvHWMc6EynNwYuZ9M6R9', 'tNz2DjOtssir4wjKcztP']"
kakao1546813223,"['HD8CnHis5L9kqvq42SJj', 'lino', 's18ewHFbDn25gGqImMo6', 'oqiE1D0QeNbwlZcsUIWx', 'dongeul-character', '7LOaDa9y7IB6DiiFyMF3', 'wpf39fJWBT2tzN2uTHiG', 'i22U9EM1CoYkrhBkYZwQ', 'zohzMKZTVrMjiJRNOMGh', 'DieC6fIOUp7b4kTk7p2c']"
kakao1549153513,"['3f3Flsj4ZVind59GQfjh', 'joQlBxVnpPFvMusav0fx', 'PWaZfk0q6JOI8wpoClyC', '3U6A-RKJc', 'QAm5bifGxXMD1jKU6DLv', '5NI9ErVzezsORFbx6YDk', '67eVVPmUAmAvg9k13tOz', 'moYKLXDrO2k0QXOK4dip', 'EpcQ401Xd', 'GdacIZljLUey5DD8mKAh']"
kakao1597390710,"['fwqErajQ6UESE29wpzQn', 'O2F7ZPnUiUyzO9CDvRLK', 'WhFgjuDXYEmfJvvgNyDp', 'XfXQYt5h0edCw8qjtlYI', 'mVyeqjeu0Uza94S25LDL', 'ke4aBLeqFmrNnXtjKDao', 'An60ItEySfiEk8cj6vJr', 'pqgcVxLDM8fE52hGQsqs', 'nJjGV6QJfO6hKFCqsSt9', 'dGqLjEXWcX6kEVHzRBj4']"
kakao1461684174,"['3aGZnRt6i9pdS2m6NTYr', 'QAm5bifGxXMD1jKU6DLv', 'BjkCb7AJ62j1x7nZ0yaM', 'FrtIeehIYa1p7PIeNOsf', 'JViNFMqAETG4rdq5RDm2', 'gTMaIPskP1BRMcP2oSe0', 'QmOX26yYRlL6GTmH4UOA', 'HYgFVlaaCL3sD2VaWngx', 'hDEI5UyXA7s2kq99MdHJ', 'LDsDoEsreKNcS6GUq3H1']"
9XFb8pBsIaPKlp4ZQZRbVmdhlf33,"['hZG3Mclh6BamJIDoSU95', 'tc4HO2QBtuOlHPYWUILG', 'pSUMF0cjZoogJ9PBskKi', 'BjkCb7AJ62j1x7nZ0yaM', 'sfCxoddIvlEWDmBXckPt', 'hDEI5UyXA7s2kq99MdHJ', '5NI9ErVzezsORFbx6YDk', 'nE3Rka3C8quVUg6sJTXu', 'l3SxzjiSe3AnA6ilD1h0', 'QAm5bifGxXMD1jKU6DLv']"
